0x2032;;;;;Vitolig Scheitholzkessel ; VBC550S
0x2092;0x0106;0x010F;;;Vitotronic 150 KB1 oder KB2 Waermebedarfsgefuehrte, digitale Kesselkreisregelung, für 1 Heizkreis ohne Mischer Vitotronic 150 KB1 oder KB2 Softwarestand 6 (mit Anbindung Anschlußerweiterung 0-10V über KM-Bus) ; V150KB1_6
0x2094;0x0100;0x0103;;;Vitotronic 200 KW1 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer ; V200KW1
0x2094;0x0104;0x0104;;;Vitotronic 200 KW1 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer Vitotronic 200 KW1 Softwarestand 4 (mit Anbindung Vitosolic 100/200 über KM-Bus) ; V200KW1_4
0x2094;0x0105;0x0105;;;Vitotronic 200 KW1 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer Vitotronic 200 KW1 Softwarestand 5 (mit Anbindung Vitosolic 100/200 über KM-Bus), kein Unterschied der Daten zu Softwarestand 4 ; V200KW1_5
0x2094;0x0106;0x010F;;;Vitotronic 200 KW1  oder KW4 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer Vitotronic 200 KW1 oder KW5 Softwarestand 6 (mit Anbindung Anschlußerweiterung 0-10V über KM-Bus) ; V200KW1_6
0x2098;0x0100;0x0103;;;Vitotronic 200 KW2 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer und 1 Heizkreis mit Mischer ; V200KW2
0x2098;0x0104;0x0104;;;Vitotronic 200 KW2 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer und 1 Heizkreis mit Mischer Vitotronic 200 KW2 Softwarestand 4 (mit Anbindung Vitosolic 100/200 über KM-Bus) ; V200KW2_4
0x2098;0x0105;0x0105;;;Vitotronic 200 KW2 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer und 1 Heizkreis mit Mischer Vitotronic 200 KW2 Softwarestand 5 (mit Anbindung Vitosolic 100/200 über KM-Bus), kein Unterschied der Daten zu Softwarestand 4 ; V200KW2_5
0x2098;0x0106;0x010F;;;Vitotronic 200 KW2 oder KW5 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer und 1 Heizkreis mit Mischer Vitotronic 200 KW2 oder KW5 Softwarestand 6 (mit Anbindung Anschlußerweiterung 0-10V über KM-Bus) ; V200KW2_6
0x209C;0x0100;0x0103;;;Vitotronic 300 KW3 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer und 2 Heizkreisen mit Mischer ; V300KW3
0x209C;0x0104;0x0104;;;Vitotronic 300 KW3 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer und 2 Heizkreisen mit Mischer Vitotronic 300 KW3 Softwarestand 4 (mit Anbindung Vitosolic 100/200 über KM-Bus) ; V300KW3_4
0x209C;0x0105;0x0105;;;Vitotronic 300 KW3 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer und 2 Heizkreisen mit Mischer Vitotronic 300 KW3 Softwarestand 5 (mit Anbindung Vitosolic 100/200 über KM-Bus), kein Unterschied der Daten zu Softwarestand 4 ; V300KW3_5
0x209C;0x0106;0x010F;;;Vitotronic 300 KW3 Witterungsgeführte, digitale Kessel- und Heizkreisregelung, für 1 Heizkreis ohne Mischer und 2 Heizkreisen mit Mischer Vitotronic 300 KW3 Softwarestand 6 (mit Anbindung Anschlußerweiterung 0-10V über KM-Bus) ; V300KW3_6
0x209D;;;;;NR1 2011 ; V100KC4B
0x209F;;;;;NR1 2011 ; V200KO2B
0x20A0;0x0100;0x0106;;;Vitotronic 100 GC1 ; V100GC1
0x20A0;0x0107;0x0107;;;Vitotronic 100 GC1 Softwarestand 7 (0-10V Anschlußerweiterung optional) ; V100GC1_7
0x20A0;0x0108;0x010F;;;Vitotronic 100 GC1 Softwarestand 8 und 9 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional) ; V100GC1_8
0x20A1;;;;;Vitotronic 100 GC1 Softwarestand 8 und 9 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional) ; V100GC1A
0x20A2;;;;;Vitotronic 100 GC1C für Systemregler 2013 ; V100GC1C
0x20A3;;;;;Anschlusserweiterung EA2 für Systemregler 2013 ; EA2
0x20A4;0x0100;0x0106;;;Vitotronic 200 GW1 ; V200GW1
0x20A4;0x0107;0x0107;;;Vitotronic 300 GW2 Softwarestand 7 (0-10V Anschlußerweiterung optional) ; V200GW1_7
0x20A4;0x0108;0x0108;;;Vitotronic 300 GW2 Softwarestand 8 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional) ; V200GW1_8
0x20A4;0x0109;0x010F;;;Vitotronic 300 GW2 Softwarestand 9 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional, neue Codierungen F8 bis FB) ; V200GW1_9
0x20A5;0x0100;0x0106;;;Vitotronic 300 GW2 ; V300GW2
0x20A5;0x0107;0x0107;;;Vitotronic 300 GW2 Softwarestand 7 (0-10V Anschlußerweiterung optional) ; V300GW2_7
0x20A5;0x0108;0x0108;;;Vitotronic 300 GW2 Softwarestand 8 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional) ; V300GW2_8
0x20A5;0x0109;0x010F;;;Vitotronic 300 GW2 Softwarestand 9 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional, neue Codierungen F8 bis FB) ; V300GW2_9
0x20A6;;;;;NR2 2011, GW5B für Systemregler 2013 ; V300GW2A
0x20A7;;;;;Vitotronic 100 CC1E und Vitotronic CC1I (NRP1.0)Konstant-Kesselregelung für Ein-und Mehrkesselanwendungen ; V100CC1x
0x20A9;;;;;Vitotronic 200 CO1E / CO1I ; V200CO1x
0x20AA;0x0100;0x0106;;;Vitotronic 050 HK1W - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer und Speichertemperaturregelung. ; V050HK1W
0x20AA;0x0107;0x0107;;;Vitotronic 050 HK1W - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer und Speichertemperaturregelung. Softwarestand 7 (0-10V Anschlußerweiterung optional) ; V050HK1W_7
0x20AA;0x0108;0x0108;;;Vitotronic 050 HK1W - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer und Speichertemperaturregelung. Softwarestand 8 (0-10V Anschlußerweiterung und Vitosolic 1 ; V050HK1W_8
0x20AA;0x0109;0x010F;;;Vitotronic 050 HK1W - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer und Speichertemperaturregelung. Softwarestand 9 (0-10V Anschlußerweiterung und Vitosolic 1 ; V050HK1W_9
